title,company,salary,category,publicated,description
Senior Software Engineer (Python),UPPeople,,"Категорія: Python,Англійська: Upper-Intermediate,5 років досвіду","Вакансія опублікована                24 квітня 2023,38 переглядів,3 відгуки","We are looking for a Senior Backend Developer for our client.,Required skills:,- Required (5+ years working with): Backend services, REST APIs, and Python,- Required (2+ years): NLP (text classification, entity extraction, Q&A, document analysis),- ML model training, evaluation & serving,- Deep learning frameworks (Pytorch, Tensorflow),- Data processing & manipulation with Python (Pandas, Numpy),- Cloud services (Azure, GCP, AWS),- Git or equivalent VCS,- BS Degree in Computer Science or related field"
Python Developer,KindGeek,,"Категорія: Python,3 роки досвіду","Вакансія опублікована                24 квітня 2023,67 переглядів,4 відгуки","Вимоги:,- Знання Python 3, Kivy Framework. Досвід Kivy.,- Чітке розуміння процесу розробки, включаючи розробку, тестування та розгортання.,- Розуміння та досвід використання найкращих практик користувальницького інтерфейсу / UX.,- Розуміння принципів кросплатформної розробки.,- Навички DevOps.,-Встановлення та налаштування середовища розробки, середовища виконання, Python, модулі, компіляція з сарсів, в т.ч у віртуальній машині.,- Хороші комунікативні навички,- Навички документування результатів роботи,- Увага до деталей,- Взаємодія з іншими учасниками команди,- Проактивна позиція у реалізації проектних завдань,- Готовність працювати в офісі (м.Львів), а не віддалено.,Бажано:,- Основи програмування Android NDK.,- Знання C++."
"Senior Algorithms Developer (Speech Recognition, Python)",SD Solutions,$5000-6000,"Категорія: Python,Англійська: Upper-Intermediate,3 роки досвіду","Вакансія опублікована                24 квітня 2023,22 перегляди,1 відгук","On behalf of Corsound AI, SD Solutions is looking for an Algorithm Developer to join the team!,SD Solutions is a staffing company operating globally. Contact us to get more details about the benefits we offer.,Take part in designing the next generation of CorSound deep learning solutions and algorithmic engine.,Research recent papers on the topic,Carry out deep-learning experiments,Excel at both individual and teamwork,Excellent coding skills, with 3+ years of experience in Python.,PhD in relevant disciplines (e.g., EE/CS/Applied Math/Physics/Bio Engineering/Computational Biology/etc.) - mandatory,Broad knowledge and former experience with image generation (GAN / diffusion models / VAE) - mandatory,Former experience in Speaker Recognition or Speech Recognition fields,Broad knowledge of algorithms and analysis tools and methods,Experience with DL frameworks, i.e., TensorFlow/PyTorch is mandatory,Strong background in C++.,Experience with the development of Machine Learning / Signal Processing applications - advantage,CorSound AI disrupt security, safety, and intelligence sectors with innovative AI-powered solutions and are rapidly advancing opportunities in the medical and financial security industries,Our goal is to become a leading company in the field of personal recognition based on voice, and automated facial reconstruction based on sound/voice.,We are using cutting-edge AI techniques to treat human voice using image processing techniques.,Members of our algorithms team develop world-class speaker recognition and voice processing solutions that are on the biometric levels."
Middle/Senior Python Software Engineer,CrunchCode,$2800-3500,"Категорія: Python,Англійська: Upper-Intermediate,3 роки досвіду","Вакансія опублікована                23 квітня 2023,57 переглядів,13 відгуків","CrunchCode is currently looking for a Middle/Middle+ or Senior Python Developer to join our creative team remotely. If you are passionate about building cool products and producing great results using best practices, excited about challenges and seeking to work with creative projects, feel free to apply, we’d be happy to interview you.,Required skills:,•	Excellent knowledge and at least 3 years of experience in Python and web development, strong understanding what microservice architecture is and have experience in its application;,•	Experience with software engineering best practices;,•	Confident work with PostgreSQL databases (or analogues); NoSQL databases and search engines (ElasticSearch),•	Experience with AWS or any other cloud provider infrastructure (Lambda, API Gateway, Kinesis, S3, EC2, DynamoDB, SQS);,•	Experience with Docker/Kubernetes;,•	Excellent communication skills.,At least Upper-Intermediate level of English is a must-have for this position,We offer:,— Development of professional skills;,— Work on highly loaded and actively developing services with business logic and many engineering challenges;,— The opportunity to propose and implement your idea on how to improve the service or new functionality;,— Interesting projects, rapid professional growth.,About project,A few words about us: we develop front-end/backend corporate systems and services for IT holdings, retail, fintech and logistics companies.,Several projects are currently open: development of a remote banking web application, a SaaS platform that can be used for organizations that want to host digital events, a platform for consultations with doctors and drug delivery from pharmacies, creation of an ecosystem of various software products for homeowners, home professionals, and homeowner associations for connecting them and providing various services."
Senior Python Developer,InventorSoft,,"Категорія: Python,Англійська: Upper-Intermediate,5 років досвіду","Вакансія опублікована                21 квітня 2023,41 перегляд,11 відгуків","Шукаємо досвідченого,розробника (від 5 років досвіду) на нідерландський урядовий проект. Англійська -,,комерційного досвіду роботи з Python;,- Досвід роботи з FastAPI;,- Глибокі знання та досвід роботи з JSON;,- Досвід роботи з MySQL;,,- Upper-intermediate та вище.,,комунікабельність, організованість, дисциплінованість, вміння працювати в команд,- Досвід роботи з європейськими проектами (Нідерланди, Німеччина, Франція).,- Гнучкий графік роботи;,- Гібридний формат роботи (офіс або ремоут);,- Повний бухгалтерський супровід;,- Професійний розвиток (доступ до платформи з навчальними курсами, проведення внутрішніх презентацій на професійну тематику);,- 18 днів 100 % оплачуваної відпустки;,- 10 днів 100% оплачуваних лікарняних;,- Безкоштовні заняття з англійської мови.,Нідерланди,урядова ініціатива у відділі, який займається реєстрацією та подальшою комунікацією з біженцями. Проект був створений у 2022 році та передбачає довготривалу співпрацю.,Формується нова команда, яка складатиметься з 1 Backend розробника, 1 Frontend розробника, 1 UI/UX дизайнера та DevOps спеціаліста.,Клієнт формує нову команду.,- робота з усіма процесами, які стосуються API;,- покращення бекенд частини проекту;,- баг фіксинг;,- тісна співпраця з іншими членами команди;,- участь у командних дзвінках та обговореннях.,- Графік роботи: гнучкий, але потрібно брати участь у всіх командних мітингах;,- Проведення мітингів: Scrum мітинги (дейлі, планінги, демо).,- Тайм зона: (СЕТ) - 1 година різниці,- HR співбесіда (30-40 хв);,- Технічне інтерв’ю з клієнтом (60 хв).,- Співбесіди українською та англійською мовами;,- Виконання технічного завдання не передбачається."
Python Developer for EdTech company,Projector,,"Категорія: Python,Англійська: Intermediate,3 роки досвіду","Вакансія опублікована                23 квітня 2023,40 переглядів,0 відгуків","Шукаємо КУРАТОРА на курс із Python у Projector Institute.,Ми метчимо, якщо:,—  в тебе комерційний досвід - 3-4 роки;,—  досвід менторства junior/trainee колег;,—  знання інших мов програмування;,—  досвід роботи з вебом, БД і написанням тестів.,У кураторів є 3 основні задачі:,— перевірка та фідбек на домашні завдання студентів;,— проведення вебінарів 1/2 рази на тиждень, онлайн у вечірній час;,— комунікація зі студентами.,Шукаємо людину, яка хоче викладати, менторити новачків і доводити їх до результату:)"
Senior Full-stack Developer with ML experience,8allocate,,"Категорія: Python,Англійська: Upper-Intermediate,5 років досвіду","Вакансія опублікована                21 квітня 2023,26 переглядів,1 відгук","is a global provider of end-to-end custom software development solutions to companies all over the globe, from North America to the EU to Israel to Australia.,Headquartered in Estonia, we run offshore Research and Development centers in Kyiv and Lviv. Our team is 50% remote and distributed. We specialize in flexible interaction exclusively with international clients (we cover industries from commercial aviation to fintech) thanks to a multinational support group of experts and management.,Our client is a US-based startup company, they are helping pharmaceutical companies ship life-saving drugs to patients faster by automating the quality review process using ML and other technologies. They are looking for a strong developer to join the team and take over the responsibility for developing the platform and enhancements.,11 am to 8 pm Ukraine time.,Upper-intermediate+,— 8+ years of software development experience;,— Proficiency in Python, Nodejs, and AWS services (Lambda, Amplify, Cognito, DynamoDB, AppSync, etc.). Knowledge of Angular is a plus.;,— Experience with ML / OCR;,— Strong analytical skills;,— Attention to detail and ability to respond quickly;,— Self-motivated, multi-tasker, and demonstrated team player;,— Bachelor’s degree in a related field, such as computer science, software engineering, or data science, is recommended;,— Master’s degree in Artificial Intelligence is a plus.,— Drive the strategic and tactical roll-out of the  solution;,— Design extraction solutions utilizing AWS Textract service;,— Accurately and efficiently utilize  software to provide accurate document processing;,— Collect, cleanse, and transform data with a focus on first-time quality;,— Monitor the  Workflow to ensure all documents are verified and processed for extraction;,— Assess the effectiveness of extraction algorithms;,— Strong analytical and logical reasoning and problem-solving skills.,— “Family and Friends”. We are no longer a start-up, but still, have a family atmosphere in our supportive and spirited team, who are all working together on the same goal.,— “Just break down all barriers and find a better way”. Every day you’ll meet with interesting and challenging (international) projects that are covering industries from commercial aviation to fintech (different technologies, different products).,— “Hungry for learning”. You will get a lot of chances for career advancement and the development of new skills, opportunities for mentorship, or learning from more experienced colleagues.,— You’ll work with a supportive and spirited team of professionals.,— Corporate events, holidays, and team buildings for your joy.,— Training and development: we have a huge library (about 500 books!) and a budget for your professional development.,— English classes.,— Сoverage of sports activities.,— People-oriented management without bureaucracy.,— Coverage of psychologist sessions.,— Paid vacation and sick leaves."
Senior Cloud Developer,Alcor,,"Категорія: Python,Англійська: Intermediate,5 років досвіду","Вакансія опублікована                24 квітня 2023,2 перегляди,1 відгук","As a,you join the talented Paessler team behind PRTG Hosted Monitor crafting elegant solutions.,Our world famous monitoring software PRTG is also available as a service hosted in the cloud. To put together a world wide available & regionally localized monitoring solution for IT administrators everywhere, we have a team of talented cloud and operations engineers and we're looking for you to join and strengthen our team.,Together with your team you are responsible for the development of PRTG Hosted Monitor,You develop the Python web services & serverless functions responsible for provisioning, activation, control, automation & monitoring PRTG Hosted Monitor,You develop the Vue.js web application our customers log into to create, manage & configure their cloud monitoring solution.,You develop prototypes designed to evaluate hypotheses for new product concepts and ideas,You bring new ideas to the team, discussing and planning their implementation together with the Product Owner,You support our technical support team with 3rd level support cases,You have experience in cloud native development with AWS or another cloud platform,You have experience developing in Python, preferably with AWS's API Gateway and Lambda,You have experience developing with Vue.js or a comparable frontend JavaScript framework,You have experience with NoSQL databases, experience with DynamoDB is a plus,You consider unit testing, code reviews, and continuous integration as essential elements of software development,You have preferably first hand experience in agile development processes (e.g. Scrum, Kanban, Scrumban)"
Senior Python Developer,Disoft,,"Категорія: Python,3 роки досвіду","Вакансія опублікована                24 квітня 2023,24 перегляди,8 відгуків","- At least 4 years of experience with Python,- And 4 years of experience with Django and Django Rest,- Knowledge of REST and experience working with REST APIs,- Good knowledge with PostgreSQL,- Good understanding of algorithms, databases and client-server architectures,- English language at the level of reading documentation or higher,- Мінімальні знання Node.js або бажання і можливість швидко розібратись.,- Досвід роботи з WebRtc,- Досвід аналізу відео або фото"
Python developer (US IoT project),Romen Personnel,$1000-2500,"Категорія: Python,Англійська: Intermediate,1 рік досвіду","Вакансія опублікована                21 квітня 2023,573 перегляди,173 відгуки","An IoT product development company specializing in software development in America and Canada. Currently, we are looking for Python Backend or full-stack developer.,Requirements:,- 1+ years of engineering experience,- Python knowledge, PHP, SQL,- Nice to have Nodejs, symfony, AWS,Responsibilities:,- Develop an AI bot for logistics,- Participation in the daily meetings, max 30 minutes,Conditions:,- Remote work,- 8 hours a working day, you can start any time, but better in the second part of the day by UA time,- Payment in dollars to Payoneer or by other means,If you need more details, please write to us; we will provide the necessary information."
Software Developer Back-End (Python / AI),3asoft,,"Категорія: Python,Англійська: Upper-Intermediate,3 роки досвіду","Вакансія опублікована                24 квітня 2023,72 перегляди,9 відгуків","Greetings! We got an interesting request from our Belgium customer. Full-time involvement will be needed from September (1+ year) but we already have a need for a few days per week of development during June, July & August. The customer is a skilled and experienced Data PM & Data Solution Architect so it's a great possibility to LEARN a lot.,General Project Description:,The full study than a POC (Proof of concept) showing how we can use LLM capabilities & tools to produce hourly editorials around the Data domains (BI, AI, ethics & regulation, Data Science etc.), to publish them in an auto-generated blog. The final idea would be to build a strong tool that is able to provide editorial content in any domain (being able to do competitive intelligence and gathering news and knowledge),Requirements:,3+ years of experience with Python,strong experience with GCP and MongoDB,experience with Auto-AI and OpenAI APIs in general,really good spoken English (b2+),a big passion for AI development,Interview steps:,1. Prescreen from 3asoft,2. Interview with Data PM / Solution Architect,All terms and conditions will be negotiated."
Python Developer,KindGeek,,"Категорія: Python,Англійська: Intermediate,2 роки досвіду","Вакансія опублікована                24 квітня 2023,74 перегляди,2 відгуки","Вимоги:,-Знання Python 3, Kivy Framework. Досвід Kivy.,-Чітке розуміння процесу розробки, включаючи розробку, тестування та розгортання.,-Розуміння та досвід використання найкращих практик користувальницького інтерфейсу / UX.,-2+ комерційного досвіду Python.,-Розуміння принципів кросплатформної розробки.,-Навички DevOps.,-Встановлення та настроювання середовища розробки, середовища виконання, Python, модулі, компіляція з сарсів, в т.ч у віртуальній машині.,Бажано:,-Основи програмування Android NDK.,-Знання C++.,Якості:,-Хороші комунікативні навички,-Навики документування результатів роботи,-Увага до деталей,-Взаємодія з іншими учасниками команди,-Проактивна позиція у реалізації проєктних завдань,-Готовність працювати в офісі (м.Львів), а не віддалено."
Middle/Senior BackEnd developer Python/Django,Meest China,,"Категорія: Python,3 роки досвіду","Вакансія опублікована                24 квітня 2023,37 переглядів,5 відгуків","У міжнародну поштово-логістичну компанію «Meest China», яка спеціалізується на доставці e-commerce посилок з Китаю в Україну та організації повного спектру складських fulfillment послуг, потрібний Middle/Senior BackEnd developer Python/Django.,Обов’язки:,- розробка нових проектів;,- розробка та підтримка високонавантажених BackEnd додатків;,- розробка API для додатків компанії;,- інтеграція зі сторонніми API.,Із вимог нам важливо:,- досвід від 3 років у створенні рішень BackEnd;,- знання Python/Django;,- досвід роботи з Postgre SQL, MySQL, Mongo DB;,- досвід роботи з Redis;,- досвід роботи з Celery;,- досвід роботи з Restfull API;,- вміння працювати Git, Jenkins, Unix та Nginx;,- стандарти та практики oAuth, JWT;,- навички побудови грамотної архітектури додатку та баз даних;,- аналітичний склад розуму та орієнтованість на досягнення результату, відповідальність, старанність, готовність до навчання;,-досвід роботи в команді.,Буде плюсом:,- досвід роботи з wagtail CMS;,-досвід роботи з AWS;,- досвід роботи зі сторонніми API — платіжні системи, різні API Google, Amazon тощо;,- навички оптимізації запитів до бази даних та оптимізація швидкості роботи проекту.,Умови роботи:,- стабільна конкурентна заробітна плата, обговорюємо на співбесіді;,- графік роботи: з пн по пт, час може варіюватися: з 8:00 до 17:00, з 9:00 до 18:00 або з 10:00 до 19:00, пт — на годину скорочений робочий день;,- оплачувана відпустка, лікарняні;,- можливість обирати зручний формат роботи: віддалено, в офісі (у м. Київ, поблузу метро Деміївська), гібридно (певні дні в офісі, певні віддалено);,- через 3 місяці роботи можливість обрати одну з пільг: медичне страхування,  оплата тренажерного залу, компенсація навчання чи покриття витрат на робочий процес;,- компенсація курсів англійської мови (від часткової до повної - залежно від успішності на заняттях);,- вебінари та особисті консультації від психологів за рахунок компанії.,- безкоштовні уроки китайської мови.,Чекаємо на Ваші резюме."
Back-end Developer for JobTestPrep,SD Solutions,,"Категорія: Python,Англійська: Upper-Intermediate,5 років досвіду","Вакансія опублікована                24 квітня 2023,21 перегляд,0 відгуків","On behalf of JobTestPrep, SD Solutions is looking for a brilliant,to join its technical department.,SD Solutions is a staffing company operating globally. Contact us to get more details about the benefits we offer.,- Design, develop, and maintain backend systems using,(and .NET technologies),- Develop ATS\HRES solutions from scratch,- Collaborate with cross-functional teams to gather requirements, design, and develop features,- Write clean, maintainable, and well-documented code,- Ensure scalability, reliability, and performance of backend systems,- Troubleshoot and debug issues and provide timely resolutions,- Participate in project planning and estimation,- Continuously learn and improve your skills and knowledge,- Stay up-to-date with the latest trends and best practices in backend development,- Contribute to the improvement of our development processes and methodologies,- Bachelor's degree in Computer Science, Software Engineering or related field,- Minimum of,in backend development using,- Strong understanding of software development principles and best practices,- Experience with databases, such as SQL and NoSQL,- Experience with RESTful APIs, JSON, and web services integration,- Familiarity with containerization technologies such as Docker and Kubernetes,- Experience with AWS cloud platforms (as a back-end user level),- Experience with Git or other version control system,- Knowledge of UI/UX design principles,- Experience with test-driven development (TDD/BDD) and continuous integration/continuous delivery (CI/CD),- Proven production experience to implement Microservices Architecture and patterns.,- Familiarity with agile development methodologies,- Good knowledge in Event Driven Design and Domain Driven Design,- Experience with .NET technologies/ C# - is a big advantage,- Experience with frontend development technologies such as,preferably (or Angular/Vue JS) - a big advantage,- Excellent communication and teamwork skills,- Strong problem-solving and analytical skills,- Independent thinking,- Ability to learn and work in a fast-paced environment,- Multi-tasking, self-learning, highly motivated, and a team player!,JobTestPrep is an online platform that provides preparation materials and resources for job seekers who are preparing for pre-employment tests and assessments.,The platform offers a wide range of practice materials and personalized study plans that are tailored to meet the specific needs of each individual job seeker."
Senior Python  Engineer,Akvelon,,"Категорія: Python,Англійська: Intermediate,3 роки досвіду","Вакансія опублікована                24 квітня 2023,4 перегляди,1 відгук","at Akvelon for long-term cooperation.,- 5+ years of professional software development experience,- Knowledge of production, distributed systems, compiler environments,- Collaboration skills,- Ability to translate requirements into specific tasks,- Experience building and owning large-scale, multi-threaded, geographically distributed backend systems and services,-Highly skilled at developing and debugging in python,- Intermediate English level,Required overlap with 10 AM PST.,- Paid vacation, sick leave,- Official state holidays,- Professional growth while attending challenging projects and the possibility to switch your role, master new technologies and skills with company support,- Flexible working schedule: 8 hours per day, 40 hours per week. It additionally depends on the project’s operational hours. Work on weekends or overtime is only upon request of the customer and is paid in addition,- Personal Career Development Plan (CDP),- Employee support program (Discount, Care, Heals, Legal compensation),- Paid external training, conferences, and professional certification that meets the company’s business goals,- Internal workshops & seminars,- Corporate library (Paper/E-books) and internal English classes"
Strong Junior / Middle Python Developer,DATAWIZ,,"Категорія: Python,Англійська: Pre-Intermediate,1 рік досвіду","Вакансія опублікована                24 квітня 2023,253 перегляди,24 відгуки","Datawiz розширює свій штат. Шукаємо у свою команду в головний офіс м. Чернівці. Python Developer. Ним можеш стати саме ти ;),Datawiz.io — продуктова ІТ компанія, яка розробляє онлайн-сервіси для аналітики даних в роздрібній торгівлі. Ми автоматизуємо процеси аналізу: чеків, продаж і даних програми лояльності. Наші клієнти це мережі супермаркетів, АЗС та аптек в більше ніж 17-ти країнах світу.,Користувачі з допомогою наших програмних рішень перетворюють дані в знання і на основі цих знань управляють своїм бізнесом. Тому ми повинні швидко та правильно відповідати на їхні запитання, адже від цього залежить їхній успіх та прибуток.,- не менше 1 року комерційного досвіду Python розробника,- знання OOP,- знання та практичні навички з Python, Django, Django Rest Framework,- розуміння принципів роботи ORM, оптимізації запитів,- знання та практичні навички з SQL (PostgreSQL),- досвід роботи в середовищі Linux систем,- вміння працювати з системами контролю версій (git),- досвід з Redis, RabbitMQ, Celery,- досвід з Docker,- досвід роботи з Pandas,- брати участь у розробці архітектури,- підтримка поточних рішень,- створення нових модулів і доопрацювання існуючих,- розробка баз даних,- інтеграція API в проект,- розробка API платформи,- розробка алгоритмів аналізу даних,- написання ефективного та масштабованого коду,- роботу в офісі, в центрі м. Чернівці (ремоут не розглядаємо),- стабільну роботу в компанії, що динамічно розвивається,- складні та цікаві задачі пов’язані з обробкою великих даних та AI,- професійний розвиток і кар’єрне зростання,- настільний теніс, фітнес, йога і X-box,- офіційне оформлення в штат компанії, оплачувана відпустка, лікарняні, страхування від нещасних випадків та COVID,- наявність комфортно облаштованого укриття на випадок повітряних тривог.,На вас чекає дружня та доброзичлива обстановка з відкритою та мотивованою командою однодумців. Залишай відгук, ми зв'яжемося з тобою ;)"
Middle Python Developer,Wild Wild Leads,,"Категорія: Python,2 роки досвіду","Вакансія опублікована                24 квітня 2023,102 перегляди,21 відгук","Привіт!,Давай знайомитися! Мене звати Марія, і я займаюсь тим, що знаходжу крутих спеціалістів в найпрогресивнішу та найшвидшу, за розвитком, компанію в сфері affiliate marketing — Wild Wild Leads.,Наразі Wild Wild Leads в пошуках Python developer,Developer Ми впевнені, що ти вже переглянув купу вакансій та, зупинившись саме на цій, відчув щось рідне та надійне. Ти не помилився, бо Wild Wild Leads — це про надійність, відкритість та шалений розвиток,Ми будемо щасливі, якщо ти:,Гіпер пунктуальний та уважний;,Ініціативний;,Вмієш пропонувати, впроваджувати та розвивати;,Досвід у сфері affiliate marketing буде +,Що важливо для нас:,Знання від року-двух досвіду,Python;,HTML5;,CSS3;,JavaScript;,Bootstrap;,Git;,PyTest;,Celery;,Redis/RabbitMQ;,Досвід з Flask.,Фреймворки від року-двух досвіду,Django;,Bootstrap.,Знання та вміння працювати з базами:,Mongo;,MySQL;,SQLite.,В твої обов’язки буде входити:,Розробка;,Тестування;,Дебагін;,Деплоїнг.,В свою чергу ми пропонуємо:,Потужна інфраструктура та команда, яка зростає кожного дня;,Чесну та професійну команду, яка готова слухати та розуміти, а головне — підтримати тебе у профбезумстві!;,Кар’єрне професіональне зростання;,Відчуй повну свободу дій та сміливо розвиваємось разом, у середині компанії;,Підтримка твоїх, навіть найшаленіших, ідей, гарантія того,що тебе не тільки вислухають, а й почують;,Команда людей, які хочуть рости та розвиватися та будуть допомагати в цьому тобі;,Підтримка рішень, які будуть сприяти покращенню та розвитку компанії;,Відпочинок і навчання разом з командою: team building, тренінги, корпоративи та багато іншого;,Фіксовану ставку;,Віддалений формат роботи;,Оплачуваний випробувальний термін;,Відпустка 24 календарних дні;Корпоративна англійська;,Корпоративний психолог, який допоможе тобі стати кращим з кращих на всіх рівнях;,Якщо ти прагнеш знайти роботу, яка стане для тебе платформою для втілення крутих ідей, проектів та хочеш чітко бачити результат своєї роботи, отримуючи задоволення від цього — ти саме та людина, яку ми шукаємо. Welcome to the dream team,Надсилай нам своє резюме. Ми вже чекаємо на зустріч!)"
Senior/Lead Python Engineer with Data skills,Sigma Software,,"Категорія: Python,Англійська: Upper-Intermediate,5 років досвіду","Вакансія опублікована                20 квітня 2023,13 переглядів,0 відгуків","We are looking for an Engineering Team Lead to join one of our teams and help us build great products for our clients.,If you have extensive experience and leadership skills as well as the ability to set your own work priorities and act as a supervisor for colleagues with less experience – this opportunity is for you.,Are you ready to become a leader in a stelar team? Let’s try!,CUSTOMER,Our client is a global leader in location technology working in the AdTech domain. It is a leading media platform company powered by real-world behaviors. Brands, agencies, small businesses, and non-profits trust our client to generate real business results.,PROJECT,The project specializes in AdTech, providing customers with expertise, simplicity, and exceptional service. Our team is committed to constant growth and challenges ourselves to be the best technologists and professionals we can be. Our values include hard work, teamwork, customer satisfaction, accountability, trust, and empathy. We strive to deliver outstanding results while prioritizing the needs and feedback of our clients.,REQUIREMENTS,Masters degree/B.Tech or 8+ years experience in technology,Strong skills in Hadoop, Spark, EMR,The following skills/certifications:Python, SQL, AWS,Detail Oriented,Adaptable and able to pivot to meet demands and carry out expectations,Organized and have demonstrated the ability to prioritize and deliver work in a timely manner,Able to work under strict deadlines and be able to prioritize a heavy workload,A team-player and not afraid to roll up your sleeves and help out when/where needed,Self-sufficient and not afraid to take the lead and manage tasks independently,Coachable and open to feedback,Respectful – we treat each other with respect and assume the best of one another,NICE TO HAVE SKILLS/CERTIFICATIONS:,Athena, Lambda, Glue, Step Functions, Kinesis, Orc, Parquet, Perl, Awk, Redshift,RESPONSIBILITIES,Proactively work to develop the skills and behaviors of each team member, coaching and mentoring them toward success in their tasks and careers,Collaborate with management, stakeholders, and the team to evaluate, plan, and deliver projects involving advertising software systems, components, and features,Promote transparency regarding the team’s activities across the organization through documentation, structured processes, and effective communications,Facilitate the team’s learning, growth, and maturity in their agile practices,Lead by example writing production-ready front-end and backend-code with a continuous delivery & deployment pipeline on AWS,Support employees by having regular 1:1 conversation, providing feedback, planning for and conducting quarterly reviews, scheduling time-off, facilitating training, providing recognition, and managing any personal or performance issues"
Fullstack Software Developer Extraordinaire - AI Enthusiasts Wanted,Forex Tester Software Inc,,"Категорія: Python,Англійська: Intermediate,2 роки досвіду","Вакансія опублікована                21 квітня 2023,145 переглядів,47 відгуків","Are you a code-slinging, keyboard-crushing Software Developer with a taste for adventure and an unquenchable thirst for knowledge? If so, we've got the perfect gig for you! We're on the lookout for a fun-loving, tech-savvy Software Developer to join our crew. Ready to cast your spell on the world of AI?,- A 2-year (or more) love affair with software development,Python skills,- At least some React (or similar framework) expertise,- A burning passion for all things AI (robots are our friends, after all),- Good written English (you don’t have to make Shakespeare shed a tear of joy, but you have to be able to explain your ideas clearly),- The ability to fly solo or spread your wings in a team,- Analytical prowess and problem-solving skills,- Experience working with ChatGPT API (or, as we like to call it, the digital oracle),- Collaborating with our fantastic team of developers, designers, and other tech gurus,- Turning complex problems into elegant, magical solutions,- Building and refining digital tools that will change the world (or at least make it a little bit cooler),- Continuously learning, growing, and laughing with us on this wild ride,Are you ready to unleash your inner coding superhero and save the day? Apply now and let's write the future together!,- A competitive salary, plus extra bonuses that'll keep you grooving,- A 4-day working week (that's right, 3-day weekends - hello, work-life balance!),- 20 marvelous paid leave days per year (because even superheroes need to recharge their superpowers), plus another 20 sick days for when you're battling the not-so-epic Kryptonite cold (chicken soup not included).,- A chance to sink your teeth into captivating projects and grow your awesomeness within our company,- Gym membership to keep you fit, fabulous, and ready to conquer the world,- Company-sponsored education related to your specialty, because we believe in nurturing your inner genius,- A friendly, cheerful team that's bursting with good vibes and a top-notch corporate culture,Are you ready to embark on this wild ride? Apply now and let's make some AI magic happen together!"
Senior Data Scientist for the oil and gas data prediction solutions,SSA Group,,"Категорія: Python,Англійська: Upper-Intermediate,5 років досвіду","Вакансія опублікована                21 квітня 2023,35 переглядів,0 відгуків","SSA Group is looking for a,to work on oil and gas data prediction solutions,The client is one of the leaders in Canada and the USA in providing automation solutions for the oil & gas industry. The project’s main idea is to automate the processing of charts with temperature and pressure parameters received from oil and gas well meters with further analysis to fill the gaps and build predictions,Language: Python,Libraries: NumPy, scikit-learn, TensorFlow, Pandas, etc,Cloud: Azure,Optional: Matlab, R,Product Owner, Team Lead, backend developers, and other data scientists,6+ years of experience in Data Science,Good knowledge of regression models, Time Series analysis,Experience in creating neural networks,4+ years of experience with Python,Experience with NumPy, scikit-learn, TensorFlow,Experience with MS SQL Server,Master’s degree in Computer Science, Statistics, Applied Math or other related areas,English level: Upper-Intermediate,Experience with OCR and Computer Vision,Knowledge of Matlab, R,Create regression model for prediction of oil and gas well data parameters,Enhance computer vision models for meter charts recognition,Communicate with the Product Owner, Team Lead, developers, and other data scientists"
Senior Data Scientist for the oil and gas industry,SSA Group,,"Категорія: Python,Англійська: Upper-Intermediate,5 років досвіду","Вакансія опублікована                21 квітня 2023,24 перегляди,0 відгуків","is looking for a Senior Data Scientist for the oil and gas industry,Automated processing of oil and gas meter charts,Language: Python,Libraries: NumPy, scikit-learn, TensorFlow, Pandas, etc,Cloud: Azure,Optional: Matlab, R,Product Owner, Team Lead, developers and other data scientists,6+ years of experience in Data Science,Good knowledge of regression models, Time Series analysis,Experience in creating neural networks,4+ years of experience with Python,Experience with NumPy, scikit-learn, TensorFlow,Experience with MS SQL Server,Master’s degree in Computer Science, Statistics, Applied Math or other related areas,English level: Upper-Intermediate,Experience with OCR and Computer Vision,Knowledge of Matlab, R,Create regression model for prediction of oil and gas well data parameters,Enhance computer vision models for meter charts recognition,Communicate with the Product Owner, Team Lead, developers, and other data scientists"
